Symbol,Company Name,Sector,Market Cap
GOODLUCK,Goodluck India,Steel & Iron Products,4715.55
212642,BMW Industries,Steel & Iron Products,1147.49
SURAJLTD,Suraj,Steel & Iron Products,370.57
BEDMUTHA,Bedmutha Industries,Steel & Iron Products,362.55
AEROFLEX,Aeroflex Industries,Steel & Iron Products,7112.12
SHAH,Shah Metacorp,Steel & Iron Products,348.32
KAMDHENU,Kamdhenu,Steel & Iron Products,1106.11
HITECH,Hi-Tech Pipes,Steel & Iron Products,1538.95
RAMASTEEL,Rama Steel Tubes,Steel & Iron Products,657.69
MANAKCOAT,Manaksia CoatedMetal,Steel & Iron Products,1298.8
JTLIND,JTL Industries,Steel & Iron Products,3603.38
MANAKSTEEL,Manaksia Steels,Steel & Iron Products,703.18
INCREDIBLE,Incredible Inds.,Steel & Iron Products,152.17
VSSL,Vardhman Spl. Steel,Steel & Iron Products,3521.37
HARIOMPIPE,Hariom Pipe Inds.,Steel & Iron Products,1112.35
VENUSPIPES,Venus Pipes & Tubes,Steel & Iron Products,3378.8
RUDRA,Rudra Global Infra,Steel & Iron Products,204
RATNAVEER,Ratnaveer Precision,Steel & Iron Products,2557.66
SCODATUBES,Scoda Tubes,Steel & Iron Products,808.89
SAMBHV,Sambhv Steel Tubes,Steel & Iron Products,3792.13
VSTL,Vibhor Steel Tubes,Steel & Iron Products,223.11
VMSTMT,VMS TMT,Steel & Iron Products,225.62
270644,Systematic Inds.,Steel & Iron Products,571.12
309375,Maiden Forgings,Steel & Iron Products,152.07
319928,Karbonsteel Engg.,Steel & Iron Products,151.32
310302,Cosmic CRF,Steel & Iron Products,1219.67
319980,Gabion Technologies,Steel & Iron Products,191.96
269887,Riddhi Steel & Tube,Steel & Iron Products,256.42
MAHASTEEL,Mahamaya Steel Inds.,Steel & Iron Products,2107.71
126981,Shri BajrangAlliance,Steel & Iron Products,144.6
104731,Azad India Mobility,Steel & Iron Products,487.76
105693,LA TIM Metal & Inds.,Steel & Iron Products,135.12
104903,Rathi Steel & Power,Steel & Iron Products,191.55
111672,Scan Steels,Steel & Iron Products,359.74
113043,Remi Edelstahl Tub.,Steel & Iron Products,314.54
ISIBARS,India Homes,Steel & Iron Products,1143.29
PANCHMSTEL,Panchmahal Steel,Steel & Iron Products,578.07
130615,Garg Furnace,Steel & Iron Products,109.08
212682,Beekay Steel Inds.,Steel & Iron Products,796.07
STEELCOGUJ,Steelco Gujarat,Steel & Iron Products,162.69
123874,East India Drums,Steel & Iron Products,139.44
118075,Suraj Products,Steel & Iron Products,303.24
BIHARSPONG,Bihar Sponge Iron,Steel/Sponge Iron/Pig Iron,109.6
CMNL,Chaman Metallics,Steel/Sponge Iron/Pig Iron,279.36
JAIBALAJI,Jai Balaji Inds,Steel/Sponge Iron/Pig Iron,6361.13
LLOYDSME,Lloyds Metals&Energy,Steel/Sponge Iron/Pig Iron,102617.94
VRAJ,Vraj Iron & Steel,Steel/Sponge Iron/Pig Iron,401.43
221463,Rajputana Stainless,Steel/Sponge Iron/Pig Iron,1516.75
VASWANI,Vaswani Industries,Steel/Sponge Iron/Pig Iron,154.88
SALSTEEL,SAL Steels,Steel/Sponge Iron/Pig Iron,1177.97
DOLLEX,Dollex Agrotech,Sugar,147.01
MVKAGRO,M.V.K. Agro FoodProd,Sugar,1193.66
ZUARIIND,Zuari Industries,Sugar,823.3
EIDPARRY,E.I.D. Parry (I),Sugar,13904.57
UGARSUGAR,Ugar Sugar Works,Sugar,600.19
UTTAMSUGAR,Uttam Sugar Mills,Sugar,1072.44
DHAMPURSUG,Dhampur Sugar Mills,Sugar,1077.71
DALMIASUG,Dalmia Bharat Sugar,Sugar,3549.59
DBOL,Dhampur Bio Organics,Sugar,829.78
BALRAMCHIN,Balrampur Chini Mill,Sugar,14612.92
TRIVENI,Triveni Engg. & Inds,Sugar,6074.31
BAJAJHIND,Bajaj Hindusthan Sug,Sugar,5226
BANARISUG,Banna Amman Sugars,Sugar,4769.22
KOTARISUG,Kothari Sugars &Chem,Sugar,248
RENUKA,Shree Renuka Sugar,Sugar,5116.89
RAJSREESUG,Rajshree Sugars&Chem,Sugar,117.53
DCMSRIND,DCM Shriram Inds.,Sugar,586.44
SAKHTISUG,Sakthi Sugars,Sugar,235.08
PONNIERODE,Ponni Sugars (Erode),Sugar,328.85
MAWANASUG,Mawana Sugars,Sugar,568.88
GODAVARIB,Godavari Biorefineri,Sugar,1236.92
KMSUGAR,KM Sugar Mills,Sugar,282.26
KCPSUGIND,KCP Sugar&Inds. Corp,Sugar,363.63
MAGADSUGAR,Magadh Sugar &Energy,Sugar,777.93
DWARKESH,Dwarikesh Sugar Inds,Sugar,876.66
VISHWARAJ,Vishwaraj Sugar Ind.,Sugar,128.52
AVADHSUGAR,Avadh Sugar & Energy,Sugar,1620.49
OSWALSUG,Indian Sucrose,Sugar,139.92
289699,Parvati Sweetners,Sugar,108.73
132102,SBEC Sugar,Sugar,295.41
131923,Dhampure Splty.Sugar,Sugar,120.1
PKTEA,Peria Karamalai Tea,Tea/Coffee,248.49
NORBTEAEXP,Norben Tea & Exports,Tea/Coffee,109.88
132230,Bengal Tea & Fabrics,Tea/Coffee,125.41
ROSSELLIND,Rossell India,Tea/Coffee,214.72
TATACONSUM,Tata Consumer Prod.,Tea/Coffee,99958.69
CCL,CCL Products (India),Tea/Coffee,14770.86
GOODRICKE,Goodricke Group,Tea/Coffee,481.36
UNITEDTEA,The United Nilgiri,Tea/Coffee,221.25
GROBTEA,Grob Tea Co,Tea/Coffee,113.64
JAYSREETEA,Jay Shree Tea& Inds.,Tea/Coffee,285.74
ANDREWYU,Andrew Yule,Tea/Coffee,1365.64
MCLEODRUSS,Mcleod Russel India,Tea/Coffee,483.63
DTIL,Dhunseri Tea & Inds.,Tea/Coffee,158.28
108136,B&A,Tea/Coffee,111.6
108670,Neelamalai Agro Inds,Tea/Coffee,205.29
HFCL,HFCL,Telecom-Infrastructure,35424.26
STLNETWORK,STL Networks,Telecom-Infrastructure,1409.17
KDL,Kore Digital,Telecom-Infrastructure,111.16
PACEDIGITK,Pace Digitek,Telecom-Infrastructure,3617.45
311155,Bondada Engineering,Telecom-Infrastructure,3151.93
SARTELE,Sar Televenture,Telecom-Infrastructure,448.32
SUYOG,Suyog Telematics,Telecom-Infrastructure,856.76
GTLINFRA,GTL Infrastructure,Telecom-Infrastructure,1485.89
KAVDEFENCE,Kavveri Def. Wireles,Telecommunication - Equipment,403.67
TEJASNET,Tejas Networks,Telecommunication - Equipment,10935.88
ITI,ITI,Telecommunication - Equipment,26184.17
KRONECOMM,ADC India Communicat,Telecommunication - Equipment,1108.14
FROG,Frog Innovations,Telecommunication - Equipment,400.76
BBOX,Black Box,Telecommunication - Equipment,12649.5
126775,Valiant Communicatns,Telecommunication - Equipment,1457.07
249675,Sedemac Mechatronics,Telecommunication - Equipment,12431.35
117258,Precision Electronic,Telecommunication - Equipment,241.03
IDEA,Vodafone Idea,Telecommunication - Service  Provider,162731.24
TATACOMM,Tata Communications,Telecommunication - Service  Provider,50063.89
RCOM,Reliance Communs.,Telecommunication - Service  Provider,224.01
HATHWAY,Hathway Cable & Data,Telecommunication - Service  Provider,1862.15
MTNL,Mahanagar Telephone,Telecommunication - Service  Provider,1672.65
BHARTIARTL,Bharti Airtel,Telecommunication - Service  Provider,1148372.39
RTL,Rama Telecom,Telecommunication - Service  Provider,109.88
INDUSTOWER,Indus Towers,Telecommunication - Service  Provider,99405.97
BHARTIHEXA,Bharti Hexacom,Telecommunication - Service  Provider,74770
TTML,Tata Teleservice(Mah,Telecommunication - Service  Provider,7377.9
RAILTEL,Railtel Corp. India,Telecommunication - Service  Provider,8699.04
JINDWORLD,Jindal Worldwide,Textile,5765.96
283888,Osiajee Texfab,Textile,146.07
VTL,Vardhman Textiles,Textile,17322.48
PAGEIND,Page Industries,Textile,40488.56
KPRMILL,K.P.R. Mill,Textile,40549.39
MANYAVAR,Vedant Fashions,Textile,14437.77
WELSPUNLIV,Welspun Living,Textile,19699.03
245465,Meenakshi India,Textile,457.82
LAGNAM,Lagnam Spintex,Textile,132.16
IRISDOREME,Iris Clothings,Textile,1259.14
CPS,CPS Shapers,Textile,260.95
SHRITECH,Shri Techtex,Textile,148.58
KARNIKA,Karnika Industries,Textile,733.43
SWARAJ,Swaraj Suiting,Textile,944.06
SHREEKARNI,Shree Karni Fabcom,Textile,286.81
AVIANSH,Avi Ansh Textile,Textile,143.26
FORCAS,Forcas Studio,Textile,416.73
ECOLINE,Ecoline Exim,Textile,369.99
SDREAMS,SD Retail,Textile,159.42
NRVANDANA,NR Vandana Tex Inds.,Textile,162.83
323142,Madhur Knit Crafts,Textile,163
SPUNWEB,Spunweb Nonwoven,Textile,248.02
321319,Shree Ram Twistex,Textile,150.75
322708,Alpine Texworld,Textile,220.91
322716,Kusumgar,Textile,5997.11
322807,Aastha Spintex,Textile,344.84
323094,Fractal Industries,Textile,167.97
BOMDYEING,Bombay Dyeing & Mfg.,Textile,2343.55
SWANCORP,Swan Corp,Textile,8823.81
ARVIND,Arvind,Textile,15042.49
GARFIBRES,Garware Tech. Fibres,Textile,7817.24
ALOKINDS,Alok Industries,Textile,3887.78
ICIL,Indo Count Inds,Textile,8908.48
GOKEX,Gokaldas Exports,Textile,5783.07
KITEX,Kitex Garments,Textile,2570.56
PGIL,Pearl Global Inds.,Textile,10523.59
RAYMONDLSL,Raymond Lifestyle,Textile,4043.2
JINDALPOLY,Jindal Poly Films,Textile,2943.98
CENTENKA,Century Enka,Textile,1330.48
RSWM,RSWM,Textile,1039.2
AYMSYNTEX,AYM Syntex,Textile,1826.54
HIMATSEIDE,Himatsingka Seide,Textile,899.18
ORBTEXP,Orbit Exports,Textile,613.31
LOYALTEX,Loyal Textile Mills,Textile,105.07
DONEAR,Donear Industries,Textile,479.7
BHANDARI,Bhandari Hosiery Exp,Textile,100.89
ZENITHEXPO,Zenith Exports,Textile,110.14
RUBYMILLS,Ruby Mills,Textile,1432.24
TTL,T.T.,Textile,175.91
VARDMNPOLY,Vardhman Polytex,Textile,283.53
SANGAMIND,Sangam (India),Textile,2908.27
ZODIACLOTH,Zodiac Clothing Co,Textile,198.33
WEIZMANIND,Weizmann,Textile,115.43
114470,Winsome Textile Ind.,Textile,164.74
FAZE3Q,Faze Three,Textile,1215.01
MHLXMIRU,Mahalaxmi Rubtech,Textile,185.74
FILATFASH,Filatex Fashions,Textile,150.01
VIPCLOTHNG,VIP Clothing,Textile,181.61
CHEVIOT,Cheviot Company,Textile,677.31
SURYALAXMI,Suryalakshmi Cotton,Textile,114.32
KKCL,Kewal Kiran Clothing,Textile,3169.38
NDL,Nandan Denim,Textile,407.94
DOLLAR,Dollar Industries,Textile,1498.72
LUXIND,Lux Industries,Textile,3533.72
CANTABIL,Cantabil Retail Ind,Textile,2032.82
THOMASCOTT,Thomas Scott (I),Textile,390.28
RUPA,Rupa & Company,Textile,1149.05
RNBDENIMS,R&B Denims,Textile,277.21
BELLACASA,Bella Casa Fashion,Textile,325.12
MONTECARLO,Monte Carlo Fashions,Textile,1191.06
LOVABLE,Lovable Lingerie,Textile,105.63
LAL,Lorenzini Apparels,Textile,153.91
SPORTKING,Sportking India,Textile,2912.74
VISHAL,Vishal Fabrics,Textile,462.29
GLOSTERLTD,Gloster,Textile,652.77
SBC,SBC Exports,Textile,2179.05
DCMNVL,DCM Nouvelle,Textile,345.46
ABCOTS,AB Cotspin India,Textile,457.17
SPAL,S.P. Apparels,Textile,2692.63
288323,Active Clothing Co,Textile,171.02
319476,Game Changers Texfab,Textile,197
131971,Popees Baby Care Ind,Textile,147.06
KESORAMIND,Kesoram Industries,Textile,338.62
AXITA,Axita Cotton,Textile,306.52
BORANA,Borana Weaves,Textile,819.61
LAKSHMIMIL,Lakshmi Mills Co,Textile,530.08
SHRIDINESH,Shri Dinesh Mills,Textile,207.53
MAFATLAIND,Mafatlal Inds.,Textile,878.13
114010,Rudra Ecovation,Textile,285.55
114316,Raghuvir Synthetics,Textile,356.11
PORRITSPEN,Voith Paper Fabrics,Textile,640.7
SUDITIND,Suditi Industries,Textile,351.8
130521,Virat Industries,Textile,614.85
131234,Scoobee Day Garments,Textile,111.49
131307,RRIL,Textile,201.94
130331,Premco Global,Textile,129.2
219491,Bhilwara Technl.Text,Textile,242.42
132090,Atvo Enterprises,Textile,422.7
190060,MK Exim (India),Textile,251
123054,Binayak Tex Process,Textile,137.71
114330,One Global Service,Textile,1060.01
130219,Nutricircle,Textile,299.7
126827,Spice Islands Inds.,Textile,301.07
245845,Alan Scott Enter.,Textile,183.31
122292,Candour Techtex,Textile,157.23
114215,Binny,Textile,314.59
JCT,JCT,Textile,105.07
INDIANCARD,Indian Card Clothing,Textile - Machinery,130.69
LMW,LMW,Textile - Machinery,20056.26
104959,Stovec Industries,Textile - Machinery,345.57
322113,Lohia Corp,Textile - Machinery,6143.55
INDORAMA,Indo Rama Synthetic,Textile - Manmade  Fibres,1905.08
GANECOS,Ganesha Ecosphere,Textile - Manmade  Fibres,2679.33
SARLAPOLY,Sarla Perform. Fiber,Textile - Manmade  Fibres,796.62
PASUPTAC,Pasupati Acrylon,Textile - Manmade  Fibres,602.9
VARDHACRLC,Vardhman Acrylics,Textile - Manmade  Fibres,350.31
BANSWRAS,Banswara Syntex,Textile - Manmade  Fibres,400.69
RAJRILTD,Raj Rayon Industries,Textile - Manmade  Fibres,1228.39
224764,Sunrakshakk Inds.,Textile - Manmade  Fibres,1145.85
114318,Jattashankar Inds.,Textile - Manmade  Fibres,242.61
MARALOVER,Maral Overseas,Textile - Spinning,256.64
SANATHAN,Sanathan Textiles,Textile - Spinning,3850.51
MODTHREAD,Modern Threads (I),Textile - Spinning,189.07
TRIDENT,Trident,Textile - Spinning,12311.83
NITINSPIN,Nitin Spinners,Textile - Spinning,3592.74
FILATEX,Filatex India,Textile - Spinning,3451.22
GHCLTEXTIL,GHCL Textiles,Textile - Spinning,1306.85
324150,Shreedhar Spinners,Textile - Spinning,245.04
NAHARSPING,Nahar Spinning Mills,Textile - Spinning,1045.17
AMBIKCO,Ambika Cotton Mills,Textile - Spinning,938.38
SUTLEJTEX,Sutlej Textiles&Inds,Textile - Spinning,669.9
DCM,DCM,Textile - Spinning,143.84
SALONA,Salona Cotspin,Textile - Spinning,142.06
GINNIFILA,Ginni Filaments,Textile - Spinning,364.61
BASML,Bannari Amman Spg.,Textile - Spinning,203.08
LAMBODHARA,Lambodhara Textiles,Textile - Spinning,139.76
SHIVATEX,Shiva Texyarn,Textile - Spinning,237.04
PASHUPATI,Pashupati Cotspin,Textile - Spinning,1293.34
NAHARINDUS,Nahar Ind.Enterprise,Textile - Spinning,594.64
114138,Suryalata Spg. Mills,Textile - Spinning,175.74
114302,Vippy Spinpro,Textile - Spinning,107.69
DEEPAKSPIN,Deepak Spinners,Textile - Spinning,102.83
AMARJOTHI,Amarjothi Spg. Mills,Textile - Spinning,108.63
SUPER,Super Sales India,Textile - Spinning,385.47
123537,APM Industries,Textile - Spinning,125.43
CNOVAPETRO,True Green BioEnergy,Textile - Spinning,736.1
RAJPALAYAM,Rajapalayam Mills,Textile - Spinning,733.28
112233,Jaybharat Textiles,Textile - Spinning,838.03
PRECOT,Precot,Textile - Spinning,837.66
126179,Ludlow Jute &Special,Textile - Weaving,365.75
MANOMAY,Manomay Tex India,Textile - Weaving,424.09
UNITEDPOLY,United Polyfab Guj.,Textile - Weaving,956.16
VGL,Varvee Global,Textile - Weaving,274.7
JASCHIND,Jasch Industries,Textile - Weaving,197.48
SIYSIL,Siyaram Silk Mills,Textile - Weaving,2507.38
BSL,BSL,Textile - Weaving,127.19
VTMLTD,VTM,Textile - Weaving,564.39
121238,Bharat Global Devel.,Trading,1608
119031,Shah Foods,Trading,936.91
ADANIENT,Adani Enterprises,Trading,397723.7
REDINGTON,Redington,Trading,29027.28
AEGISLOG,Aegis Logistics,Trading,44584.02
STCINDIA,State Trading Corpn.,Trading,691.68
CPPLUS,Aditya Infotech,Trading,43825.58
LGHL,Laxmi Goldorna House,Trading,878.72
BALAXI,Balaxi Pharma.,Trading,140.06
JMA,Jullundur Motor Agen,Trading,206.89
VAISHALI,Vaishali Pharma,Trading,112.32
SPCENET,Spacenet Enterprises,Trading,193.6
ZOTA,Zota Health Care,Trading,3921.79
TEMBO,Tembo Global Inds.,Trading,1370.88
SIDDHIKA,Siddhika Coatings,Trading,139.03
VISAMAN,Visaman Global Sales,Trading,130.6
NRL,Nupur Recycle,Trading,876.62
LEMERITE,Le Merite Exports,Trading,261.98
FOCE,Foce India,Trading,571.89
DYNAMIC,Dynamic Services,Trading,344.07
GRETEX,Gretex Industries,Trading,375.55
QMSMEDI,QMS Medi Allied Ser.,Trading,307.41
SHIVAUM,Shiv Aum Steels,Trading,609.37
APRAMEYA,Aprameya Engineering,Trading,221.82
DENEERS,DE Neers Tools,Trading,194.64
REMUS,Remus Pharmaceutical,Trading,1048.83
DENTALKART,Vasa Denticity,Trading,714.55
CELLECOR,Cellecor Gadgets,Trading,730.34
ESCONET,Esconet Technologies,Trading,314.86
POSITRON,Positron Energy,Trading,136.81
GPECO,GP Eco Solutions,Trading,544.45
SILKFLEX,Silkflex Polymers(I),Trading,334.63
KKJEWELS,Kabra Jewels,Trading,102.75
DHARIWAL,Dhariwalcorp,Trading,225.63
VIESL,Vision Infra Equip.,Trading,976.55
VIJAYPD,Vijaypd Ceutical,Trading,123.03
DIVINEHIRA,Divine Hira Jeweller,Trading,428.4
PRIZOR,Prizor Viztech,Trading,1295.98
HPTL,HP Telecom India,Trading,392.89
ENCOMPAS,Encompass Design,Trading,364.23
EPWINDIA,EPW India,Trading,280.22
EXIMROUTES,Exim Routes,Trading,200.83
290882,Caliber Mining & Log,Trading,3288.73
316511,Speciality Medicines,Trading,131.79
320947,Adon Agro Commoditie,Trading,191.04
322891,Kwick Forensic Solut,Trading,354.39
322894,Striders Impex,Trading,120.45
LLOYDSENT,Lloyds Enterprises,Trading,11331.6
MMTC,MMTC,Trading,9627
HONASA,Honasa Consumer,Trading,15357.37
CELLO,Cello World,Trading,7713.41
PREMIERENE,Premier Energies,Trading,45485.94
CONFIPET,Confidence Petroleum,Trading,2740.32
HCL-INSYS,HCL Infosystems,Trading,332.5
OSWALAGRO,Oswal Agro Mills,Trading,492.1
UNIENTER,Uniphos Enterprises,Trading,648.1
112038,TCC Concept,Trading,1047.99
AUSOMENT,Ausom Enterprise,Trading,220.42
AEROENTER,Aeroflex Enterprises,Trading,1604.78
NOVARTIND,Novartis India,Trading,4065.83
OCCL,AG Ventures,Trading,131.12
ANIKINDS,Anik Industries,Trading,124.89
DVL,Dhunseri Ventures,Trading,1015.89
SYMPHONY,Symphony,Trading,3985.34
SGMART,SG Mart,Trading,10394.75
SIGIND,Signet Industries,Trading,207.15
KOTHARIPRO,Kothari Products,Trading,402.24
SIL,Standard Industries,Trading,126.02
FISCHER,Fischer Medical,Trading,2518.06
AAREYDRUGS,Aarey Drugs & Pharma,Trading,295.74
SAKUMA,Sakuma Exports,Trading,253.97
MANAKSIA,Manaksia,Trading,413.19
OPTIEMUS,Optiemus Infracom,Trading,5133.18
IMPAL,India MotorParts&Acc,Trading,1391.02
RPTECH,Rashi Peripheral,Trading,5469.51
VINCOFE,Vintage Coffee & Bev,Trading,2499.82
HEXATRADEX,Hexa Tradex,Trading,870.93
MUFTI,Credo Brands Mktg,Trading,491.96
220066,Polo Queen Indl.&Fin,Trading,290.76
SREEL,Sreeleathers,Trading,614.81
MVGJL,Manoj Vaibhav Gems,Trading,878.77
PDSL,PDS,Trading,5071.36
ESSENTIA,Integra Essentia,Trading,184.3
VIKASLIFE,Vikas Lifecare,Trading,240.36
CNL,Creative Newtech,Trading,1825.28
BCONCEPTS,Brand Concepts,Trading,208.86
KAMOPAINTS,Kamdhenu Ventures,Trading,149.04
293443,Northern Spirits,Trading,216.53
304660,Achyut Healthcare,Trading,168.47
SRD,Shankar Lal Rampal,Trading,251.58
BMWVENTLTD,BMW Ventures,Trading,480.05
JKIPL,Jinkushal Industries,Trading,386.01
JSLL,Jeena Sikho Lifecare,Trading,6417.65
ENTERO,Entero Healthcare,Trading,7954.28
EBGNG,GNG Electronics,Trading,6854.94
ORIENTTECH,Orient Technologies,Trading,1091.97
SSDL,Saraswati Saree Dep.,Trading,224.49
ARISINFRA,Arisinfra Solutions,Trading,1051.54
HINDWAREAP,Hindware Home Innov.,Trading,1527.47
FABTECH,Fabtech Technologies,Trading,667.65
286967,Aayush Art & Bullion,Trading,1941.12
300407,MRP Agro Ltd.,Trading,104.65
297853,Rajesh Power Serv.,Trading,1408.9
309047,Macfos,Trading,1134.36
310896,Khazanchi Jewellers,Trading,1889.67
311805,Manoj Ceramic,Trading,120.41
314829,Aelea Commodities,Trading,326
315681,Shiv Texchem,Trading,253.27
319810,Chemkart India,Trading,224.44
316727,Nanta Tech,Trading,166.5
320351,True Colors,Trading,373.64
320174,Monika Alcobev,Trading,344.7
320398,SK Minerals & Additi,Trading,564.88
280274,Khemani Distributors,Trading,261.1
309443,Bizotic Commercial,Trading,479.07
321184,Aptus Pharma,Trading,549.57
114440,Blue Pearl Agriven.,Trading,516.39
274990,A-1,Trading,233.68
278126,Elitecon Intl.,Trading,1387.5
295121,Parshva Enterprises,Trading,187.08
285042,Starlineps Enter.,Trading,375.8
HARDWYN,Hardwyn India,Trading,624.31
SOMATEX,Soma Textiles & Inds,Trading,298.02
245507,Variman Global Enter,Trading,105.15
122235,Minal Industries,Trading,102.67
GLOBABOARD,Metroglobal,Trading,167.92
101391,WH Brady & Co,Trading,122.96
106530,Kemp & Company,Trading,108.02
106134,Gourmet Gateway Ind,Trading,184.63
109945,Thacker & Company,Trading,114.21
112165,ABans Enterprises,Trading,194.32
112014,Sobhagya Mercantile,Trading,1544.72
114272,Bhilwara Spinners,Trading,120.78
114183,Black Rose Inds.,Trading,576.4
RAMAVISION,Rama Vision,Trading,186.68
124444,Evexia Lifecare,Trading,247.81
124480,Riddhi Siddhi Gluco,Trading,546.14
NETWORK,Swiss Military Cons.,Trading,368.14
126211,Suraj Industries,Trading,294.8
126241,Amrapali Industries,Trading,175.52
126971,Dhoot Industrial Fin,Trading,177.22
130185,Surat Trade & Merc.,Trading,102.8
130495,Stratmont Industries,Trading,159.27
131216,Comfort Intech,Trading,198.68
131658,Abate AS Industries,Trading,140.9
SICAGEN,Sicagen India,Trading,230.62
217982,Novelix Pharma,Trading,217.94
132070,Gujjubhai Industries,Trading,207.74
236159,Amba Enterprises,Trading,148
225142,The Yamuna Syndicate,Trading,851.74
267306,Agribio Spirits,Trading,359.62
279899,ACE Men Engg Works,Trading,151.1
275503,Fratelli Vineyards,Trading,560.79
279657,Mishtann Foods,Trading,359.92
284204,Maximus Internatl.,Trading,200.52
280766,Balgopal Commercial,Trading,455.66
311916,Shradha AI Tech.,Trading,143.85
236023,Aayush Wellness,Trading,131.85
TRANSCHEM,Transchem,Trading,439.42
104346,RRP Semiconductor,Trading,11409.08
106863,Swadeshi Inds.&Leas.,Trading,174.18
106180,Emergent Ind. Solu.,Trading,189.16
112099,Eyantra Ventures,Trading,109.63
112229,Veritas (India),Trading,433.52
112595,KD Green Industries,Trading,512.02
112026,Vega Jewellers,Trading,315.21
114324,Omnitex Industries,Trading,311.1
124723,Arvaya Healthcare,Trading,570.26
130929,RRP Defense,Trading,877.8
119606,Integrated Proteins,Trading,299.42
131628,Tejassvi Aaharam,Trading,378.05
255239,Rotographics (India),Trading,365.87
238969,Aerpace Industries,Trading,614.82
243041,AVI Polymers,Trading,165.5
267952,Callista Industries,Trading,137.76
267111,Pipan Oils,Trading,321.38
243461,Chandrima Mercantile,Trading,566.72
267241,SMT Engineering,Trading,648.53
214444,Wardwizard Foods&Bev,Trading,245.31
121167,Maxgrow India,Trading,697.24
221644,Keto Motors,Trading,2189.46
JYOTISTRUC,Jyoti Structures,Transmission Towers / Equipments,1196.05
MODERNMAL,Modern Malleables,Transmission Towers / Equipments,524.25
NEUEON,Neueon Corporation,Transmission Towers / Equipments,634.43
322589,Anawil Wire And Eng.,Transmission Towers / Equipments,955.99
THOMASCOOK,Thomas Cook (India),Travel Services,5251.8
IXIGO,Le Travenues Techno,Travel Services,7355.09
112277,Autoriders Interntl.,Travel Services,102.89
IRCTC,IRCTC,Travel Services,38084
TBOTEK,TBO Tek,Travel Services,18339.39
321092,Waterways Leisure,Travel Services,7521.79
WTICAB,Wise Travel India,Travel Services,248
EASEMYTRIP,Easy Trip Planners,Travel Services,2390.79
YATRA,Yatra Online,Travel Services,1780.84
DREAMFOLKS,Dreamfolks Services,Travel Services,356.54
316021,Mach Travel Solution,Travel Services,347.01
INTLTRAVHS,Intl Travel House,Travel Services,227.56
109953,Trade-Wings,Travel Services,153.75
NDTV,New Delhi Television,TV Broadcasting & Software Production,837.95
281812,Diksat Transworld,TV Broadcasting & Software Production,219.46
ENIL,Entertainment Netw.,TV Broadcasting & Software Production,489.34
BTML,Bodhi TreeMultimedia,TV Broadcasting & Software Production,154.62
SUNTV,Sun TV Network,TV Broadcasting & Software Production,18557.44
DEN,Den Networks,TV Broadcasting & Software Production,1334.8
ZEEL,Zee Entertainment,TV Broadcasting & Software Production,8799.32
EFACTOR,E Factor Experiences,TV Broadcasting & Software Production,227.17
TVTODAY,TV Today Network,TV Broadcasting & Software Production,662.02
NETWORK18,Network 18 Media Inv,TV Broadcasting & Software Production,4376.2
NDLVENTURE,NDL Ventures,TV Broadcasting & Software Production,419.95
RADIOCITY,Music Broadcast,TV Broadcasting & Software Production,217.09
ZEEMEDIA,Zee Media Corpn.,TV Broadcasting & Software Production,538.76
GTPL,GTPL Hathway,TV Broadcasting & Software Production,659.82
DISHTV,Dish TV India,TV Broadcasting & Software Production,473.2
236941,Dolfin Rubbers,Tyres & Allied,173.27
CEATLTD,Ceat,Tyres & Allied,13482.82
GOODYEAR,Goodyear India,Tyres & Allied,1710.38
TOLINS,Tolins Tyres,Tyres & Allied,363.4
VIAZ,Viaz Tyres,Tyres & Allied,110.07
BALKRISIND,Balkrishna Inds.,Tyres & Allied,44165.25
APOLLOTYRE,Apollo Tyres,Tyres & Allied,27280.76
JKTYRE,JK Tyres & Inds.,Tyres & Allied,10590.32
MRF,MRF,Tyres & Allied,55111.53
ETML,Emerald Tyre Mfrs.,Tyres & Allied,159.61
TVSSRICHAK,TVS Srichakra,Tyres & Allied,4010.38
KDDL,KDDL,Watches & Accessories,4810.25
SONAMLTD,Sonam,Watches & Accessories,263.57
TIMEXWATCH,Timex Group India,Watches & Accessories,6762.14
SYLVANPLY,Sylvan Plyboard (I),Wood & Wood Products,107.63
GREENPLY,Greenply Industries,Wood & Wood Products,3805.77
WESTERNBIO,Ecoboard Industries,Wood & Wood Products,167.21
ARCHIDPLY,Archidply Industries,Wood & Wood Products,208.36
CENTURYPLY,Century Plyboards(I),Wood & Wood Products,16628.54
GREENPANEL,Greenpanel Inds.,Wood & Wood Products,1941.44
131859,Oriental Rail Infra,Wood & Wood Products,876.86
116003,Duroply Industries,Wood & Wood Products,116.14
123888,Megamont,Wood & Wood Products,516.98
